gene_symbol,chromosome,clinical_significance,disease,inheritance_pattern,allele_frequency
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00835162
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.000123174
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,4.07e-07
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.073212675
DMD,chrX,Pathogenic,Cardiomyopathy,germline,0.013055304
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.065814703
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.016933051
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.017203551
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.022833217
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.027986135
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.014234232
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.013203142
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001040059
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000355187
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.026549769
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.001238204
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.179832901
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007751874
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000649904
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00022375
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002500175
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.019226477
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.025728139
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007651104
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.00028704
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000925765
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.015530836
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.00479401
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.019214579
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.026498953
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.002424933
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.051612208
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.00369629
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00020492
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.025615239
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001283823
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.01667332
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005940113
HEXA,chr15,Benign,Tay-Sachs Disease,germline,5.83e-05
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.000536153
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.01902367
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.002516702
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.016558575
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000347922
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.060221106
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.04774208
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.003000238
DMD,chrX,Pathogenic,Cardiovascular Phenotype,germline,0.05000672
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.032888343
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.012819444
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002360361
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006028346
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003412712
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.005730418
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.123749509
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.013541156
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.009449127
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.025599148
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.03357305
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.006472145
DMD,chrX,Pathogenic,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Dystrophin,germline,0.037431734
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.066014577
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.007622975
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00488728
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.008828312
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001773517
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.005464312
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.01644301
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.006053658
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.033117198
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.010686036
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.001207445
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001638646
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.175270832
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.004749637
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.007382379
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.017080506
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.017729335
HEXA,chr15,Pathogenic,Tay-Sachs Disease,germline,0.010353475
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.025080467
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.004897241
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.002809801
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.011575834
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.003695863
CFTR,chr7,Pathogenic,Cystic Fibrosis,germline,0.0051189
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.000360956
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.013769769
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.062014614
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.010847812
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.002502715
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.005997798
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.002289275
DMD,chrX,Pathogenic,Dilated Cardiomyopathy 3B,germline,0.031460538
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.016990273
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.0334394
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.021046378
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.020815392
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.004280212
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.00806297
DMD,chrX,Pathogenic,Cardiomyopathy,germline,0.003181671
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.000830819
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.031425501
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.139696373
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.010289508
DMD,chrX,Pathogenic,Becker Muscular Dystrophy,germline,0.001897524
HEXA,chr15,Benign,Tay-Sachs Disease,germline,0.007497981
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.009779753
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.001307081
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.030706702
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.059382525
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.005332457
HEXA,chr15,Uncertain,Tay-Sachs Disease,unknown,0.033316202
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.061647458
HEXA,chr15,Uncertain,Tay-Sachs Disease,germline,0.007735125
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.008323903
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.044927835
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001170241
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.03969299
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001847406
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.01107245
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.041896712
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.005362324
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.007163742
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.018890107
CFTR,chr7,Uncertain,Cftr-Related Disorder,germline,0.10221783
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,unknown,0.033086773
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.001889963
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.001137052
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.000828673
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.000644617
CFTR,chr7,Benign,Cystic Fibrosis,germline,0.018334915
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.003804207
DMD,chrX,Pathogenic,Duchenne Muscular Dystrophy,germline,0.001347683
DMD,chrX,Benign,Duchenne Muscular Dystrophy,germline,0.00404379
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.002031222
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.003852669
CFTR,chr7,Uncertain,Cystic Fibrosis,germline,0.061325515
DMD,chrX,Uncertain,Becker Muscular Dystrophy,germline,0.034017406
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.006885727
CFTR,chr7,Uncertain,Cftr-Related Disorder,germline,0.01375306
DMD,chrX,Uncertain,Duchenne Muscular Dystrophy,germline,0.005106681
